,trial,choice,reward,cumulative_reward,model_id
840,41,1,0,36,96531
841,42,0,1,37,96531
842,43,0,1,38,96531
843,44,0,1,39,96531
844,45,0,1,40,96531
845,46,0,1,41,96531
846,47,0,1,42,96531
847,48,0,1,43,96531
848,49,0,1,44,96531
849,50,0,1,45,96531
850,51,0,1,46,96531
851,52,0,1,47,96531
852,53,0,0,47,96531
853,54,0,0,47,96531
854,55,0,0,47,96531
855,56,0,0,47,96531
856,57,0,0,47,96531
857,58,1,1,48,96531
858,59,1,1,49,96531
859,60,1,1,50,96531
860,61,1,1,51,96531
861,62,0,0,51,96531
862,63,1,1,52,96531
863,64,1,1,53,96531
864,65,1,1,54,96531
865,66,1,1,55,96531
866,67,1,1,56,96531
867,68,1,1,57,96531
868,69,1,1,58,96531
869,70,1,1,59,96531
870,71,1,1,60,96531
871,72,1,1,61,96531
872,73,1,1,62,96531
873,74,0,0,62,96531
874,75,1,1,63,96531
875,76,1,1,64,96531
876,77,1,1,65,96531
877,78,1,1,66,96531
878,79,1,1,67,96531
879,80,1,1,68,96531
880,81,1,1,69,96531
881,82,1,1,70,96531
882,83,1,1,71,96531
883,84,1,1,72,96531
884,85,1,1,73,96531
885,86,1,1,74,96531
886,87,1,1,75,96531
887,88,1,1,76,96531
888,89,1,0,76,96531
889,90,1,1,77,96531
890,91,1,1,78,96531
891,92,1,1,79,96531
892,93,1,1,80,96531
893,94,1,1,81,96531
894,95,1,1,82,96531
895,96,1,1,83,96531
896,97,1,1,84,96531
897,98,1,1,85,96531
898,99,1,1,86,96531
899,100,1,1,87,96531
900,1,0,1,1,13435
901,2,0,1,2,13435
902,3,0,1,3,13435
903,4,0,0,3,13435
904,5,1,1,4,13435
905,6,0,1,5,13435
906,7,0,1,6,13435
907,8,0,1,7,13435
908,9,0,1,8,13435
909,10,0,0,8,13435
910,11,1,1,9,13435
911,12,0,1,10,13435
912,13,0,1,11,13435
913,14,0,1,12,13435
914,15,1,1,13,13435
915,16,1,0,13,13435
916,17,0,1,14,13435
917,18,0,1,15,13435
918,19,0,1,16,13435
919,20,0,1,17,13435
920,21,0,1,18,13435
921,22,0,1,19,13435
922,23,0,1,20,13435
923,24,1,0,20,13435
924,25,0,1,21,13435
925,26,0,1,22,13435
926,27,0,1,23,13435
927,28,0,1,24,13435
928,29,0,1,25,13435
929,30,0,1,26,13435
930,31,0,1,27,13435
931,32,0,1,28,13435
932,33,0,1,29,13435
933,34,0,1,30,13435
934,35,0,1,31,13435
935,36,0,1,32,13435
936,37,0,1,33,13435
937,38,0,1,34,13435
938,39,1,0,34,13435
939,40,0,1,35,13435
940,41,0,1,36,13435
941,42,0,1,37,13435
942,43,0,1,38,13435
943,44,1,0,38,13435
944,45,0,1,39,13435
945,46,0,1,40,13435
946,47,0,1,41,13435
947,48,0,1,42,13435
948,49,0,1,43,13435
949,50,0,1,44,13435
950,51,0,1,45,13435
951,52,0,1,46,13435
952,53,0,0,46,13435
953,54,0,0,46,13435
954,55,0,0,46,13435
955,56,0,0,46,13435
956,57,1,1,47,13435
957,58,1,1,48,13435
958,59,1,1,49,13435
959,60,1,1,50,13435
960,61,1,1,51,13435
961,62,1,1,52,13435
962,63,0,1,53,13435
963,64,1,1,54,13435
964,65,0,0,54,13435
965,66,1,1,55,13435
966,67,1,1,56,13435
967,68,0,0,56,13435
968,69,1,1,57,13435
969,70,1,1,58,13435
970,71,0,0,58,13435
971,72,1,1,59,13435
972,73,1,1,60,13435
973,74,1,1,61,13435
974,75,1,1,62,13435
975,76,1,1,63,13435
976,77,1,1,64,13435
977,78,1,1,65,13435
978,79,1,1,66,13435
979,80,1,1,67,13435
980,81,1,1,68,13435
981,82,1,1,69,13435
982,83,1,1,70,13435
983,84,1,1,71,13435
984,85,1,1,72,13435
985,86,1,1,73,13435
986,87,1,1,74,13435
987,88,1,1,75,13435
988,89,1,0,75,13435
989,90,1,1,76,13435
990,91,1,1,77,13435
991,92,1,1,78,13435
992,93,1,1,79,13435
993,94,1,1,80,13435
994,95,1,1,81,13435
995,96,1,1,82,13435
996,97,1,1,83,13435
997,98,1,1,84,13435
998,99,1,1,85,13435
999,100,1,1,86,13435
1000,1,1,1,1,88697
1001,2,0,1,2,88697
1002,3,0,1,3,88697
1003,4,0,0,3,88697
1004,5,0,1,4,88697
1005,6,0,1,5,88697
1006,7,0,1,6,88697
1007,8,0,1,7,88697
1008,9,1,0,7,88697
1009,10,0,0,7,88697
1010,11,0,1,8,88697
1011,12,0,1,9,88697
1012,13,0,1,10,88697
1013,14,0,1,11,88697
1014,15,0,1,12,88697
1015,16,0,1,13,88697
1016,17,0,1,14,88697
1017,18,0,1,15,88697
1018,19,0,1,16,88697
1019,20,0,1,17,88697
1020,21,0,1,18,88697
1021,22,0,1,19,88697
1022,23,0,1,20,88697
1023,24,0,1,21,88697
1024,25,0,1,22,88697
1025,26,1,1,23,88697
1026,27,0,1,24,88697
1027,28,0,1,25,88697
1028,29,1,0,25,88697
1029,30,1,0,25,88697
1030,31,0,1,26,88697
1031,32,0,1,27,88697
1032,33,0,1,28,88697
1033,34,1,1,29,88697
1034,35,0,1,30,88697
1035,36,0,1,31,88697
1036,37,0,1,32,88697
1037,38,0,1,33,88697
1038,39,0,1,34,88697
1039,40,0,1,35,88697
1040,41,0,1,36,88697
1041,42,0,1,37,88697
1042,43,0,1,38,88697
1043,44,0,1,39,88697
1044,45,0,1,40,88697
1045,46,0,1,41,88697
1046,47,0,1,42,88697
1047,48,0,1,43,88697
1048,49,0,1,44,88697
1049,50,0,1,45,88697
1050,51,0,1,46,88697
1051,52,0,1,47,88697
1052,53,0,0,47,88697
1053,54,0,0,47,88697
1054,55,1,1,48,88697
1055,56,0,0,48,88697
1056,57,1,1,49,88697
1057,58,0,0,49,88697
1058,59,1,1,50,88697
1059,60,1,1,51,88697
1060,61,1,1,52,88697
1061,62,0,0,52,88697
1062,63,1,1,53,88697
